stf_uid;stf_status;stf_name_key;stf_first_name;stf_middle_name;stf_last_name;stf_usr_uid_created_by;stf_create_date;stf_usr_uid_updated_by;stf_last_update_date
1;Lead Gorgeous Cotton Ball;senior man;Cornelius;Directives Senior Jewelery;Blanda;56194;2021-01-09;89853;2021-01-09
2;Table override;navigate;Sarai;Row;Prohaska;31959;2021-01-09;19912;2021-01-09
3;Sleek Rubber Bike;Swedish Krona;Cloyd;transmit;Spencer;82247;2021-01-09;98748;2021-01-09
4;cutting-edge Awesome;IB;Luis;process improvement;Heaney;73274;2021-01-09;54276;2021-01-09
5;alarm user-centric web-enabled;payment Minnesota;Kylie;Chair indexing Metrics;Toy;4021;2021-01-09;44441;2021-01-09
6;THX next generation bandwidth-monitored;24/7;Walton;synthesizing;Sanford;79230;2021-01-09;49680;2021-01-09
7;Officer calculating GB;Producer;Hector;Toys;Koss;32022;2021-01-09;75820;2021-01-09
8;gold Chief;Cocos (Keeling) Islands exploit;Grayce;Directives monitor;Runolfsdottir;15892;2021-01-09;1682;2021-01-09
9;Chief Buckinghamshire help-desk;Pizza;Quinton;driver Streets;Cormier;65722;2021-01-09;98507;2021-01-09
10;index;zero tolerance backing up;Johnathon;Ball;Weissnat;14453;2021-01-09;35184;2021-01-09
